Commander/s,Identity,Appearances,Wins,Avg Winrate,Avg Drawrate,Best Standing,Worst Standing
"Taigam, Ojutai Master",WU,7,3,0.088,0.214,16,87
"Dina, Soul Steeper",BG,7,3,0.088,0.118,16,138
"Grist, the Hunger Tide",BG,7,4,0.121,0.091,6,103
"Elmar, Ulvenwald Informant / Wernog, Rider's Chaplain",WBRG,7,4,0.1,0.103,19,135
Sakashima of a Thousand Faces / Tymna the Weaver,WUB,7,7,0.198,0.265,4,33
"Omnath, Locus of All",WUBRG,7,8,0.19,0.286,2,62
"Koll, the Forgemaster",WR,7,4,0.11,0.097,31,133
"Noble Heritage / Vhal, Candlekeep Researcher",WU,7,5,0.122,0.188,35,90
"Jhoira, Ageless Innovator",UR,7,14,0.32,0.167,4,72
"Lavinia, Azorius Renegade",WU,7,4,0.11,0.273,16,58
"Hapatra, Vizier of Poisons",BG,7,8,0.238,0.0,23,110
"Ardenn, Intrepid Archaeologist / Kraum, Ludevic's Opus",WUR,7,6,0.181,0.125,18,132
"Tatyova, Benthic Druid",UG,7,9,0.229,0.167,1,117
Saffi Eriksdotter,WG,7,10,0.253,0.176,7,111
"Kykar, Wind's Fury",WUR,7,4,0.121,0.097,22,137
Kroxa and Kunoros,WBR,7,5,0.15,0.069,31,100
"Teysa, Orzhov Scion",WB,6,1,0.033,0.185,24,155
"Ojer Axonil, Deepest Might // Temple of Power",R,6,1,0.033,0.077,28,84
"Okaun, Eye of Chaos / Zndrsplt, Eye of Wisdom",UR,6,5,0.158,0.071,6,75
"Nissa, Resurgent Animist",G,6,5,0.137,0.103,10,96
Magar of the Magic Strings,BR,6,3,0.108,0.214,18,228
"Atla Palani, Nest Tender",WRG,6,5,0.153,0.154,8,103
"K-9, Mark I / The Fugitive Doctor",URG,6,3,0.071,0.087,4,104
"Sheoldred, the Apocalypse",B,6,4,0.103,0.091,19,127
Abaddon the Despoiler,UBR,6,7,0.212,0.167,16,90
"Kadena, Slinking Sorcerer",UBG,6,11,0.287,0.257,1,45
Grand Arbiter Augustin IV,WU,6,2,0.062,0.25,16,42
"Rakdos, Lord of Riots",BR,6,7,0.219,0.241,7,100
"Ghave, Guru of Spores",WBG,6,5,0.161,0.2,18,119
"Nezahal, Primal Tide",U,6,8,0.275,0.069,10,39
Acererak the Archlich,B,6,4,0.15,0.038,23,80
"Vohar, Vodalian Desecrator",UB,6,4,0.144,0.033,25,143
Hidetsugu and Kairi,UB,6,8,0.247,0.067,5,78
"Yennett, Cryptic Sovereign",WUB,6,5,0.138,0.185,7,108
"Malcolm, Keen-Eyed Navigator / Rograkh, Son of Rohgahh",UR,6,3,0.1,0.1,11,134
"Yasharn, Implacable Earth",WG,6,1,0.033,0.115,47,143
"Tevesh Szat, Doom of Fools / Tymna the Weaver",WB,6,2,0.075,0.179,26,115
Magus Lucea Kane,URG,6,3,0.122,0.167,23,52
"Myrel, Shield of Argive",W,6,6,0.206,0.286,7,72
Old Stickfingers,BG,5,7,0.29,0.042,18,45
"Frodo, Adventurous Hobbit / Sam, Loyal Attendant",WBG,5,0,0.0,0.238,18,81
"Valki, God of Lies // Tibalt, Cosmic Impostor",BR,5,2,0.083,0.143,18,144
Moira and Teshar,WB,5,4,0.126,0.143,12,125
"Kodama of the East Tree / Tevesh Szat, Doom of Fools",BG,5,7,0.232,0.214,2,132
Myra the Magnificent,UR,5,1,0.067,0.091,31,109
"Ikra Shidiqi, the Usurper / Rograkh, Son of Rohgahh",BRG,5,4,0.17,0.095,24,90
The Necrobloom,WBG,5,4,0.153,0.154,14,131
"Naru Meha, Master Wizard",U,5,3,0.123,0.304,24,74
Zimone and Dina,UBG,5,2,0.09,0.091,38,53
"Abdel Adrian, Gorion's Ward / Agent of the Iron Throne",WB,5,2,0.1,0.238,13,102
Heartless Hidetsugu,R,5,4,0.159,0.308,10,173
The Locust God,UR,5,2,0.073,0.08,20,125
"Ruric Thar, the Unbowed",RG,5,2,0.08,0.174,29,59
"Yawgmoth, Thran Physician",B,5,4,0.167,0.13,22,114
"Ragavan, Nimble Pilferer",R,5,1,0.04,0.375,37,88
"Solphim, Mayhem Dominus",R,5,5,0.176,0.083,4,113
"Lazav, the Multifarious",UB,5,3,0.14,0.118,23,137
Satoru Umezawa,UB,5,3,0.1,0.095,9,140
"Unctus, Grand Metatect",U,5,6,0.192,0.423,4,61
"Kiki-Jiki, Mirror Breaker",R,5,7,0.242,0.148,13,54
"Vega, the Watcher",WU,5,2,0.09,0.211,34,106
"Tadeas, Juniper Ascendant",WG,5,4,0.15,0.208,15,90
"Extus, Oriq Overlord // Awaken the Blood Avatar",WBR,5,5,0.207,0.0,6,113
"Nymris, Oona's Trickster",UB,5,7,0.234,0.214,4,62
"Kozilek, the Great Distortion",C,5,3,0.123,0.12,22,83
"Loot, the Key to Everything",URG,4,3,0.15,0.158,21,73
"Ezuri, Renegade Leader",G,4,1,0.05,0.0,38,56
"Satya, Aetherflux Genius",WUR,4,6,0.3,0.2,6,32
"Alexios, Deimos of Kosmos",R,4,3,0.146,0.053,16,63
"Wilhelt, the Rotcleaver",UB,4,5,0.246,0.105,8,57
"Miirym, Sentinel Wyrm",URG,4,4,0.183,0.25,15,49
"Azusa, Lost but Seeking",G,4,4,0.208,0.167,9,40
Queen Kayla bin-Kroog,WR,4,0,0.0,0.2,44,50
Edgar Markov,WBR,4,0,0.0,0.154,42,48
"Toluz, Clever Conductor",WUB,4,4,0.192,0.211,24,99
"Tinybones, Trinket Thief",B,4,3,0.119,0.053,9,77
"Faldorn, Dread Wolf Herald",RG,4,4,0.183,0.222,8,92
"Zurzoth, Chaos Rider",R,4,3,0.15,0.333,20,53
Prime Speaker Vannifar,UG,4,4,0.175,0.19,9,78
Galazeth Prismari,UR,4,2,0.113,0.235,21,49
"Jacob Hauken, Inspector // Hauken's Insight",U,4,9,0.392,0.091,4,63
"Varina, Lich Queen",WUB,4,2,0.092,0.263,38,77
"Rigo, Streetwise Mentor",WUG,4,1,0.062,0.118,22,110
Garth One-Eye,WUBRG,4,0,0.0,0.0,23,74
"Hinata, Dawn-Crowned",WUR,4,2,0.1,0.222,32,134
"Meria, Scholar of Antiquity",RG,4,0,0.0,0.133,37,58
"Selvala, Explorer Returned",WG,4,2,0.092,0.15,25,52
"Tergrid, God of Fright // Tergrid's Lantern",B,4,1,0.05,0.176,17,60
"Omnath, Locus of Mana",G,4,0,0.0,0.222,31,67
"Ojer Kaslem, Deepest Growth // Temple of Cultivation",G,4,4,0.213,0.059,28,47
"Muldrotha, the Gravetide",UBG,4,2,0.1,0.105,30,58
Ezio Auditore da Firenze,WUBRG,3,4,0.233,0.25,5,49
"Krark, the Thumbless / Tymna the Weaver",WBR,3,3,0.217,0.143,24,36
"Jan Jansen, Chaos Crafter",WBR,3,2,0.122,0.188,38,68
"Kambal, Consul of Allocation",WB,3,1,0.048,0.176,49,69
"Silas Renn, Seeker Adept / Yoshimaru, Ever Faithful",WUB,3,2,0.122,0.062,39,150
Sliver Overlord,WUBRG,3,2,0.133,0.0,7,47
"K-9, Mark I / The War Doctor",WUR,3,1,0.056,0.083,40,111
"Muxus, Goblin Grandee",R,3,2,0.139,0.2,32,43
"Mishra, Eminent One",UBR,3,1,0.083,0.0,24,80
"Baylen, the Haymaker",WRG,3,4,0.333,0.083,13,28
"Merry, Warden of Isengard / Pippin, Warden of Isengard",WBG,3,2,0.15,0.0,29,39
"Fblthp, the Lost",U,3,2,0.122,0.438,10,148
"Kydele, Chosen of Kruphix / Tymna the Weaver",WUBG,3,5,0.265,0.278,3,98
"Anhelo, the Painter",UBR,3,4,0.222,0.353,6,90
Sen Triplets,WUB,3,2,0.178,0.2,17,143
"Kydele, Chosen of Kruphix / Vial Smasher the Fierce",UBRG,3,3,0.167,0.278,22,71
"Jaheira, Friend of the Forest / Street Urchin",RG,3,1,0.067,0.059,29,107
The Scarab God,UB,3,1,0.067,0.154,14,70
The Pride of Hull Clade,UG,3,2,0.122,0.235,25,86
"Kibo, Uktabi Prince",RG,3,0,0.0,0.154,16,51
"Vishgraz, the Doomhive",WBG,3,0,0.0,0.091,37,92
Maelstrom Wanderer,URG,3,0,0.0,0.077,41,78
"Pir, Imaginative Rascal / Toothy, Imaginary Friend",UG,3,3,0.206,0.267,11,79
"Dargo, the Shipwrecker / Jeska, Thrice Reborn",R,3,3,0.2,0.154,10,107
"Grolnok, the Omnivore",UG,3,2,0.131,0.071,26,86
"Thrasios, Triton Hero / Toggo, Goblin Weaponsmith",URG,3,3,0.167,0.143,9,69
"Lotho, Corrupt Shirriff",WB,3,1,0.067,0.267,28,101
"Grimgrin, Corpse-Born",UB,3,1,0.083,0.062,18,185
"Ghired, Mirror of the Wilds",WRG,3,2,0.111,0.2,8,52
"Zaxara, the Exemplary",UBG,3,3,0.167,0.294,25,69
"Falco Spara, Pactweaver",WUG,3,1,0.067,0.167,27,111
"Armix, Filigree Thrasher / Thrasios, Triton Hero",UBG,3,3,0.137,0.25,15,96
"Ivy, Gleeful Spellthief",UG,3,2,0.111,0.231,10,97
Go-Shintai of Life's Origin,WUBRG,3,4,0.245,0.062,19,45
"Giada, Font of Hope",W,3,0,0.0,0.083,46,73
"Gishath, Sun's Avatar",WRG,3,0,0.0,0.154,58,90
"Akiri, Line-Slinger / Tevesh Szat, Doom of Fools",WBR,3,2,0.133,0.429,16,40
